Titulo,Facturacion
Asterix & Obelix: The Middle Kingdom,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Suzume,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Just One Small Favor,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Mi otro Jon,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Cobweb,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Free,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Love & Revolution,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Living,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Chinas,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Epic Tails,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Close Your Eyes,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Mavka: The Forest Song,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Missing,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Master Gardener,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
A Brighter Tomorrow,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Strays,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Esta ambición desmedida,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Old Oak,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Black Demon,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Verano en rojo,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Decision to Leave,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Rye Horn,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Girls Are Alright,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Aftersun,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Eight Mountains,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Quiet Girl,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Marlowe,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Retribution,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Kandahar,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Crime Is Mine,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Maybe I Do,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Beautiful Disaster,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Offering,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Renfield,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Terrifier 2,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Los buenos modales,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Poker Face,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Movie Teller,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Inspector Sun,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Book Club: The Next Chapter,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Empire of Light,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Dumb Money,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
